case_id,class_id,dice,jaccard,hd95,asd,model_type,checkpoint,dataset
UPT6DX9IQY9JAZ7HJKA7,1,0.8983453235794198,0.8154509237851746,4.123105625617661,1.6951231084783571,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
UTBUJIWZMKP64E3N73YC,1,0.8974680911130593,0.8140064553951065,8.12403840463596,1.8966028085233435,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
ULHWPWKKLTE921LQLH1P,1,0.8754181017353292,0.7784387273938667,12.884098726725126,1.3407801372631183,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
V0MZOWJ6MU3RMRCV9EXR,1,0.9040739256102449,0.8249406111754944,5.0,1.4747244649858777,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
VDOF02M8ZHEAADFMS6NP,1,0.8892869115463818,0.8006450277672381,5.0990195135927845,1.804045015047017,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
VG4C826RAAKVMV9BQLVD,1,0.9005610840999849,0.8191097032096356,6.4031242374328485,1.8475331898954284,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
VIXBEFTNVHZWKAKURJBN,1,0.9174514886935826,0.8474922639599808,3.4641016151377544,1.3197331811371955,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
VQ2L3WM8KEVF6L44E6G9,1,0.8783424943449422,0.7830754841978099,4.898979485566356,1.8990264109661765,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
WBG9WYZ1B25WDT5WAT8T,1,0.9318111716854149,0.8723281380462009,4.0,1.2853891608192625,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
WMDG2EFA6L2SNDZXIRU0,1,0.9185305714279661,0.849335678994448,3.605551275463989,1.2925272458534516,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
WNPKE0W404QE9AELX1LR,1,0.8434787464702898,0.7293240343798155,9.9498743710662,2.8858988736560742,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
WSJB9P4JCXUVHBOYFVWL,1,0.8824722176849291,0.7896646791695857,6.782329983125268,1.6874621507344068,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
WW8F5CO4S4K5IM5Z7EXX,1,0.890202227314759,0.8021301260686857,8.06225774829855,1.345619788588866,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
X18LU5AOBNNDMLTA0JZL,1,0.9146907625065108,0.8427927551957266,3.3166247903554,1.236997102626429,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
XYDLYJ5CS19FDBVLJIPI,1,0.9285979668713555,0.8667129034277815,4.123105625617661,1.0997498040455547,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
Y7ZU0B2APPF54WG6PDMF,1,0.8974001816082023,0.8138947301089798,5.744562646538029,2.1040493936973728,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
YDKD1HVHSME6NVMA8I39,1,0.9023007809219917,0.8219927328361063,7.0,2.66925888300959,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
Z9GMG63CJLL0VW893BB1,1,0.8839629157235114,0.7920551459959526,5.0990195135927845,2.1173004282486905,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
ZIJLJAVQV3FJ6JSQOH1E,1,0.9161315138920813,0.8452423201101023,14.52583904633395,1.8910422447494128,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
ZQPMJ4XEC5A4BISD45P1,1,0.9047059818838553,0.8259937212474766,7.0,2.0987107271749976,ema,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
