case_id,class_id,dice,jaccard,hd95,asd,model_type,checkpoint,dataset
UPT6DX9IQY9JAZ7HJKA7,1,0.9125250729500681,0.8391228618259161,4.123105625617661,1.555360869118385,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
UTBUJIWZMKP64E3N73YC,1,0.9084005988301206,0.8321739622214681,6.0,1.5478610961399357,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
ULHWPWKKLTE921LQLH1P,1,0.8893759626288442,0.8007894055075512,10.04987562112089,1.1863889571479678,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
V0MZOWJ6MU3RMRCV9EXR,1,0.9152836082121397,0.8437999233177839,5.0,1.2849491526179788,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
VDOF02M8ZHEAADFMS6NP,1,0.9191088494100899,0.8503250756641633,4.0,1.5224764231649384,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
VG4C826RAAKVMV9BQLVD,1,0.891644246999348,0.8044747767902131,7.0,2.034143618089915,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
VIXBEFTNVHZWKAKURJBN,1,0.9280563293516234,0.8657696805936441,4.242640687119285,1.1905893085543982,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
VQ2L3WM8KEVF6L44E6G9,1,0.8813713876836018,0.787903490022934,5.0,1.8803842258807952,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
WBG9WYZ1B25WDT5WAT8T,1,0.9367736452862546,0.8810669911756128,3.3166247903554,1.2353575737310125,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
WMDG2EFA6L2SNDZXIRU0,1,0.9365199892853269,0.8806183283651684,3.0,0.9603766381592639,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
WNPKE0W404QE9AELX1LR,1,0.8763209964806993,0.7798677324539394,6.4031242374328485,2.3194885343374514,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
WSJB9P4JCXUVHBOYFVWL,1,0.8886541122258178,0.7996197421539263,6.6332495807108,1.650659665990615,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
WW8F5CO4S4K5IM5Z7EXX,1,0.9073618976386366,0.830432231566595,6.557438524302,1.0390667242487555,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
X18LU5AOBNNDMLTA0JZL,1,0.9395876647225705,0.8860587843659434,2.449489742783178,0.9012779367822754,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
XYDLYJ5CS19FDBVLJIPI,1,0.9298655459029452,0.8689240331837891,5.385164807134504,0.9830878267350757,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
Y7ZU0B2APPF54WG6PDMF,1,0.9231567587426236,0.8572805431408004,3.7416573867739413,1.5865050573901802,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
YDKD1HVHSME6NVMA8I39,1,0.9197237567251615,0.8513783048093653,5.916079783099616,2.1748425282957724,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
Z9GMG63CJLL0VW893BB1,1,0.9111538278737438,0.8368067512185658,4.0,1.491447493564297,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
ZIJLJAVQV3FJ6JSQOH1E,1,0.9255208478153109,0.8613669664353112,17.291616465790582,1.863139842125728,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
ZQPMJ4XEC5A4BISD45P1,1,0.9117373864066641,0.8377917012109762,7.0,1.9854776191877423,ema,./results_revised/LA/8_labeled_std_seed2022/vnet/vnet_best_ema_model.pth,LA
